Phenotype	Diameter	Abundance	 Percentage 
Control	96	1.46E+09	0.29
Control	129	3.63E+08	0.07
Control	143	2.80E+08	0.05
Control	89	1.27E+09	0.17
Control	116	5.75E+08	0.08
Control	135	4.08E+08	0.05
Control	91	3.10E+09	0.17
Control	92	1.50E+09	0.15
Control	149	6.86E+08	0.07
Control	100	2.00E+09	0.16
Control	135	9.30E+08	0.07
Control	109	1.14E+09	0.21
Control	148	6.02E+08	0.11
Control	82	1.63E+09	0.19
Control	123	9.40E+08	0.11
Control	95.5	1.53E+09	0.17
Control	95.5	3.10E+09	0.18
Control	139.5	1.24E+09	0.07
Control	87.5	6.08E+08	0.12
Control	98.5	6.00E+08	0.12
Control	118.5	9.51E+08	0.19
Control	167.5	3.06E+08	0.06
Control	91.5	3.19E+08	0.07
Control	107.5	7.92E+08	0.17
Control	125.5	6.41E+08	0.14
Control	155.5	3.25E+08	0.07
Control	89.5	1.21E+09	0.16
Control	99.5	1.17E+09	0.16
Control	132.5	5.36E+08	0.07
PDR-L	87.5	4.24E+09	0.2
PDR-L	113.5	2.29E+09	0.11
PDR-L	97.5	1.87E+09	0.15
PDR-L	69.5	5.94E+08	0.07
PDR-L	88.5	1.51E+09	0.19
PDR-L	130.5	6.18E+08	0.08
PDR-L	82.5	7.86E+08	0.14
PDR-L	110.5	1.08E+09	0.2
PDR-L	153.5	4.19E+08	0.08
PDR-L	91.5	1.40E+09	0.13
PDR-L	102.5	1.40E+09	0.13
PDR-L	77.5	3.04E+08	0.08
PDR-L	103.5	7.07E+08	0.19
PDR-L	152.5	3.05E+08	0.08
PDR-L	224.5	2.16E+08	0.06
PDR-L	91.5	1.93E+09	0.21
PDR-L	133.5	9.53E+08	0.1
PDR-L	88.5	4.99E+08	0.1
PDR-L	108.5	7.35E+08	0.15
PDR-L	120.5	8.36E+08	0.17
PDR-L	206.5	3.47E+08	0.07
PDR-L	89.5	1.47E+09	0.15
PDR-L	120.5	1.21E+09	0.12
PDR-L	91.5	3.80E+09	0.24
PDR-L	130.5	1.20E+09	0.08
PDR-M	88.5	2.28E+09	0.22
PDR-M	126.5	8.45E+08	0.08
PDR-M	86.5	2.14E+09	0.21
PDR-M	140.5	5.69E+08	0.06
PDR-M	93.5	2.14E+09	0.24
PDR-M	125.5	7.94E+08	0.09
PDR-M	92.5	2.81E+09	0.16
PDR-M	125.5	2.36E+09	0.13
PDR-M	159.5	9.22E+08	0.05
PDR-M	81.5	9.19E+08	0.16
PDR-M	94.5	1.01E+09	0.17
PDR-M	129.5	6.59E+08	0.11
PDR-H	79.5	9.76E+08	0.09
PDR-H	93.5	1.58E+09	0.15
PDR-H	110.5	9.12E+08	0.08
PDR-H	139.5	7.78E+08	0.07
PDR-H	168.5	5.97E+08	0.06
PDR-H	88.5	2.10E+09	0.14
PDR-H	128.5	2.10E+09	0.14
PDR-H	85.5	1.31E+09	0.14
PDR-H	120.5	1.11E+09	0.12
PDR-H	99.5	2.93E+09	0.13
PDR-H	135.5	3.42E+09	0.15
PDR-H	81.5	6.53E+09	0.12
PDR-H	99.5	5.95E+09	0.11
PDR-H	67.5	2.96E+09	0.22
